"Rec_id","Zast_id","Name_short","Zkratka","Typ","Sloupky","Zapsano"
"31030514048",144,"Starý Hloub./smč","SHl","S","01=0544N,02=0091V,03=0660N,04=0661V,",0
"31030514049",147,"Hlubočepy","Hlč","KS","01=0092N,02=0518V,05=0702M,06=0703M,",0
"31030514050",152,"Horky","Hrk",,"01=0095,02=0096,",0
"31030514051",157,"Horoměřická","Hrm",,"01=0098,02=0097,",0
"31030514052",163,"Hradčanská","Hra","KM","01=0104M,02=0103M,11=0573,12=0574,",0
"31030514053",172,"Husinecká","Hus",,"01=0106,02=0105,",0
"31030514054",180,"Chmelnice","Chm",,"01=0110,02=0109,",0
"31030514055",183,"Chodovská","Chd",,"01=0111,02=0112,",0
"31030514056",184,"Škola Radlice","ŠRa",,"03=0707,04=0708,",0
"31030514057",187,"Chotkovy sady","ChS",,"01=0114,02=0113,",0
"31030514058",190,"I.P.Pavlova","IPP","M","01=0115M,02=0116M,03=0537M,04=0538,13=0675,14=0676,",0
"31030514059",191,"Italská","Ita",,"01=0120,02=0119,",0
"31030514060",203,"Jindřišská","Jin",,"01=0123,02=0124,",0
"31030514061",208,"Jiráskovo nám.","JiN",,"01=0126M,02=0125M,",0
"31030514062",209,"Jiřího z Poděbr.","JPo","M","01=0128,02=0127,",0
"31030514063",221,"Karlovy lázně","KLá",,"01=0136,",0
"31030514064",231,"Kamenická","Kam",,"01=0129,02=0130,12=0779,",0
"31030514065",236,"Slánská","Slá",,"01=0379M,02=0378M,",0
"31030514066",237,"Karlovo náměstí","KvN","M","01=0133M,02=0134M,03=0135,",0
"31030514067",240,"Kavalírka","Kav",,"01=0138M,02=0137M,",0
"31030514068",242,"Kbelská","Kbe",,"01=0140,02=0139,",0
"31030514069",249,"Ke Stírce","kSt",,"01=0141,02=0142,03=0594,04=0595,",0
"31030514070",250,"Vítězné náměstí","VíN","M","03=0461,04=0460,14=0718,15=0719,",0
"31030514071",254,"Klamovka","Klm",,"01=0146,02=0145,",0
"31030514072",266,"Kněžská luka","KLu",,"01=0148,02=0147,",0
"31030514073",269,"Koh-i-noor","KIN",,"01=0149M,02=0150M,03=0754VF,",0
"31030514074",272,"Div. p. Palmovk.","DpP",,"01=0060,",0
"31030514075",283,"Nad Džbánem","nDž",,"01=0152,02=0151,",0
"31030514076",289,"Kotlářka","Kot",,"01=0154M,02=0153M,",0
"31030514077",295,"Královka","Krá","S","03=0156N,04=0565V,05=0639N,06=0640V,07=0641N,08=0642V,",0
"31030514078",299,"Krem. Strašnice","KrS",,"01=0162,02=0161,",0
"31030514079",301,"Krymská","Kry",,"02=0164,",0
"31030514080",302,"Křížová","Kří",,"01=0168M,02=0167M,",0
"31030514081",303,"Kublov","Kbl",,"01=0173M,02=0172M,",0
"31030514082",308,"Divadlo Gong","DiG","K","01=0175M,02=0174M,",0
